Sample	Family.ID	SubPopulation	Population.Description	Gender	Population
HG00533	SH039	CHS	Southern Han Chinese, China	male	EAS
HG00534	SH039	CHS	Southern Han Chinese, China	female	EAS
HG00535	SH039	CHS	Southern Han Chinese, China	male	EAS
HG00536	SH040	CHS	Southern Han Chinese, China	male	EAS
HG00537	SH040	CHS	Southern Han Chinese, China	female	EAS
HG00538	SH040	CHS	Southern Han Chinese, China	male	EAS
HG00542	SH042	CHS	Southern Han Chinese, China	male	EAS
HG00543	SH042	CHS	Southern Han Chinese, China	female	EAS
HG00544	SH042	CHS	Southern Han Chinese, China	female	EAS
HG00612	SH063	CHS	Southern Han Chinese, China	female	EAS
HG00613	SH064	CHS	Southern Han Chinese, China	male	EAS
HG00614	SH064	CHS	Southern Han Chinese, China	female	EAS
HG00615	SH064	CHS	Southern Han Chinese, China	female	EAS
HG00619	SH066	CHS	Southern Han Chinese, China	male	EAS
HG00556	SH045	CHS	Southern Han Chinese, China	male	EAS
HG00557	SH045	CHS	Southern Han Chinese, China	female	EAS
HG00558	SH045	CHS	Southern Han Chinese, China	female	EAS
HG00559	SH046	CHS	Southern Han Chinese, China	male	EAS
HG00560	SH046	CHS	Southern Han Chinese, China	female	EAS
HG00561	SH046	CHS	Southern Han Chinese, China	female	EAS
HG00565	SH048	CHS	Southern Han Chinese, China	male	EAS
HG00566	SH048	CHS	Southern Han Chinese, China	female	EAS
HG00567	SH048	CHS	Southern Han Chinese, China	male	EAS
HG00577	SH052	CHS	Southern Han Chinese, China	male	EAS
HG00578	SH052	CHS	Southern Han Chinese, China	female	EAS
HG00579	SH052	CHS	Southern Han Chinese, China	female	EAS
HG00580	SH053	CHS	Southern Han Chinese, China	male	EAS
HG00581	SH053	CHS	Southern Han Chinese, China	female	EAS
HG00500	SH028	CHS	Southern Han Chinese, China	male	EAS
HG00501	SH028	CHS	Southern Han Chinese, China	female	EAS
HG00502	SH028	CHS	Southern Han Chinese, China	male	EAS
HG00512	SH032	CHS	Southern Han Chinese, China	male	EAS
HG00589	SH056	CHS	Southern Han Chinese, China	male	EAS
HG00590	SH056	CHS	Southern Han Chinese, China	female	EAS
HG00591	SH056	CHS	Southern Han Chinese, China	male	EAS
HG00592	SH057	CHS	Southern Han Chinese, China	male	EAS
HG00593	SH057	CHS	Southern Han Chinese, China	female	EAS
HG00594	SH057	CHS	Southern Han Chinese, China	male	EAS
HG00595	SH058	CHS	Southern Han Chinese, China	male	EAS
HG00596	SH058	CHS	Southern Han Chinese, China	female	EAS
HG00597	SH058	CHS	Southern Han Chinese, China	female	EAS
HG00598	SH059	CHS	Southern Han Chinese, China	male	EAS
HG00599	SH059	CHS	Southern Han Chinese, China	female	EAS
HG00600	SH059	CHS	Southern Han Chinese, China	female	EAS
HG00607	SH062	CHS	Southern Han Chinese, China	male	EAS
HG00608	SH062	CHS	Southern Han Chinese, China	female	EAS
HG00609	SH062	CHS	Southern Han Chinese, China	male	EAS
HG00610	SH063	CHS	Southern Han Chinese, China	male	EAS
HG00611	SH063	CHS	Southern Han Chinese, China	female	EAS
HG00671	SH079	CHS	Southern Han Chinese, China	male	EAS
HG00672	SH079	CHS	Southern Han Chinese, China	female	EAS
HG00673	SH079	CHS	Southern Han Chinese, China	male	EAS
HG00674	SH080	CHS	Southern Han Chinese, China	male	EAS
HG00675	SH080	CHS	Southern Han Chinese, China	female	EAS
HG00620	SH066	CHS	Southern Han Chinese, China	female	EAS
HG00621	SH066	CHS	Southern Han Chinese, China	male	EAS
HG00622	SH067	CHS	Southern Han Chinese, China	male	EAS
HG00623	SH067	CHS	Southern Han Chinese, China	female	EAS
HG00624	SH067	CHS	Southern Han Chinese, China	male	EAS
HG00625	SH068	CHS	Southern Han Chinese, China	male	EAS
HG00626	SH068	CHS	Southern Han Chinese, China	female	EAS
HG00627	SH068	CHS	Southern Han Chinese, China	male	EAS
HG00628	SH069	CHS	Southern Han Chinese, China	male	EAS
HG00629	SH069	CHS	Southern Han Chinese, China	female	EAS
HG00630	SH069	CHS	Southern Han Chinese, China	male	EAS
HG00631	SH070	CHS	Southern Han Chinese, China	male	EAS
HG00632	SH070	CHS	Southern Han Chinese, China	female	EAS
HG00633	SH070	CHS	Southern Han Chinese, China	male	EAS
HG00634	SH071	CHS	Southern Han Chinese, China	male	EAS
HG00635	SH071	CHS	Southern Han Chinese, China	female	EAS
HG00636	SH071	CHS	Southern Han Chinese, China	male	EAS
HG00585	SH054	CHS	Southern Han Chinese, China	female	EAS
HG00706	SH090	CHS	Southern Han Chinese, China	male	EAS
HG00707	SH091	CHS	Southern Han Chinese, China	male	EAS
HG00708	SH091	CHS	Southern Han Chinese, China	female	EAS
HG00709	SH091	CHS	Southern Han Chinese, China	male	EAS
HG00716	SH094	CHS	Southern Han Chinese, China	male	EAS
HG00650	SH072	CHS	Southern Han Chinese, China	male	EAS
HG00651	SH072	CHS	Southern Han Chinese, China	female	EAS
HG00652	SH072	CHS	Southern Han Chinese, China	female	EAS
HG00653	SH073	CHS	Southern Han Chinese, China	male	EAS
HG00654	SH073	CHS	Southern Han Chinese, China	female	EAS
HG00655	SH073	CHS	Southern Han Chinese, China	female	EAS
HG00656	SH074	CHS	Southern Han Chinese, China	male	EAS
HG00657	SH074	CHS	Southern Han Chinese, China	female	EAS
HG00658	SH074	CHS	Southern Han Chinese, China	male	EAS
HG00662	SH076	CHS	Southern Han Chinese, China	male	EAS
HG00663	SH076	CHS	Southern Han Chinese, China	female	EAS
HG00664	SH076	CHS	Southern Han Chinese, China	male	EAS
HG00693	SH086	CHS	Southern Han Chinese, China	female	EAS
HG00694	SH086	CHS	Southern Han Chinese, China	male	EAS
HG00476	SH025	CHS	Southern Han Chinese, China	female	EAS
HG00477	SH025	CHS	Southern Han Chinese, China	male	EAS
HG00478	SH026	CHS	Southern Han Chinese, China	male	EAS
HG00676	SH080	CHS	Southern Han Chinese, China	male	EAS
HG00683	SH083	CHS	Southern Han Chinese, China	male	EAS
HG00684	SH083	CHS	Southern Han Chinese, China	female	EAS
HG00685	SH083	CHS	Southern Han Chinese, China	male	EAS
HG00689	SH085	CHS	Southern Han Chinese, China	male	EAS
HG00690	SH085	CHS	Southern Han Chinese, China	female	EAS
HG00691	SH085	CHS	Southern Han Chinese, China	male	EAS
HG00692	SH086	CHS	Southern Han Chinese, China	male	EAS
HG00728	SH098	CHS	Southern Han Chinese, China	male	EAS
HG00701	SH089	CHS	Southern Han Chinese, China	male	EAS
HG00717	SH094	CHS	Southern Han Chinese, China	female	EAS
HG00718	SH094	CHS	Southern Han Chinese, China	male	EAS
HG00704	SH090	CHS	Southern Han Chinese, China	male	EAS
HG00705	SH090	CHS	Southern Han Chinese, China	female	EAS
HG00702	SH089	CHS	Southern Han Chinese, China	female	EAS
HG00703	SH089	CHS	Southern Han Chinese, China	male	EAS
HG00700	SH088	CHS	Southern Han Chinese, China	female	EAS
HG00698	SH088	CHS	Southern Han Chinese, China	male	EAS
HG00584	SH054	CHS	Southern Han Chinese, China	female	EAS
HG00730	SH098	CHS	Southern Han Chinese, China	female	EAS
HG00582	SH053	CHS	Southern Han Chinese, China	female	EAS
HG00729	SH098	CHS	Southern Han Chinese, China	female	EAS
HG00411	SH003	CHS	Southern Han Chinese, China	male	EAS
HG00583	SH054	CHS	Southern Han Chinese, China	male	EAS
HG00699	SH088	CHS	Southern Han Chinese, China	female	EAS

HG02924	NG06	ESN	Esan in Nigeria	male	AFR
HG02954	NG16	ESN	Esan in Nigeria	male	AFR
HG02922	NG06	ESN	Esan in Nigeria	female	AFR
HG02952	NG16	ESN	Esan in Nigeria	female	AFR
HG02953	NG16	ESN	Esan in Nigeria	male	AFR
HG02938	NG11	ESN	Esan in Nigeria	male	AFR
HG02939	NG11	ESN	Esan in Nigeria	male	AFR
HG03109	NG29	ESN	Esan in Nigeria	male	AFR
HG02941	NG12	ESN	Esan in Nigeria	male	AFR
HG03107	NG28	ESN	Esan in Nigeria	female	AFR
HG03190	NG56	ESN	Esan in Nigeria	male	AFR
HG03117	NG32	ESN	Esan in Nigeria	female	AFR
HG03118	NG32	ESN	Esan in Nigeria	male	AFR
HG03191	NG56	ESN	Esan in Nigeria	male	AFR
HG03108	NG29	ESN	Esan in Nigeria	female	AFR
HG03121	NG33	ESN	Esan in Nigeria	female	AFR
HG03122	NG33	ESN	Esan in Nigeria	male	AFR
HG03110	NG29	ESN	Esan in Nigeria	female	AFR
HG02923	NG06	ESN	Esan in Nigeria	male	AFR
HG02969	NG21	ESN	Esan in Nigeria	female	AFR
HG02970	NG22	ESN	Esan in Nigeria	female	AFR
HG03298	NG74	ESN	Esan in Nigeria	male	AFR
HG03299	NG74	ESN	Esan in Nigeria	male	AFR
HG03300	NG75	ESN	Esan in Nigeria	female	AFR
HG03297	NG74	ESN	Esan in Nigeria	female	AFR
HG02964	NG20	ESN	Esan in Nigeria	female	AFR
HG03123	NG34	ESN	Esan in Nigeria	female	AFR
HG03124	NG34	ESN	Esan in Nigeria	male	AFR
HG03301	NG75	ESN	Esan in Nigeria	male	AFR
HG03306	NG77	ESN	Esan in Nigeria	female	AFR
HG03307	NG77	ESN	Esan in Nigeria	male	AFR
HG03099	NG26	ESN	Esan in Nigeria	female	AFR
HG02968	NG21	ESN	Esan in Nigeria	male	AFR
HG03101	NG26	ESN	Esan in Nigeria	male	AFR
HG03103	NG27	ESN	Esan in Nigeria	male	AFR
HG03104	NG27	ESN	Esan in Nigeria	female	AFR
HG03105	NG28	ESN	Esan in Nigeria	female	AFR
HG03164	NG47	ESN	Esan in Nigeria	female	AFR
HG03166	NG48	ESN	Esan in Nigeria	male	AFR
HG03167	NG48	ESN	Esan in Nigeria	male	AFR
HG03168	NG49	ESN	Esan in Nigeria	female	AFR
HG03111	NG30	ESN	Esan in Nigeria	female	AFR
HG03112	NG30	ESN	Esan in Nigeria	male	AFR
HG03113	NG30	ESN	Esan in Nigeria	female	AFR
HG03114	NG31	ESN	Esan in Nigeria	female	AFR
HG03100	NG26	ESN	Esan in Nigeria	male	AFR
HG03116	NG31	ESN	Esan in Nigeria	female	AFR
HG03176	NG51	ESN	Esan in Nigeria	male	AFR
HG03189	NG56	ESN	Esan in Nigeria	female	AFR
HG03119	NG32	ESN	Esan in Nigeria	female	AFR
HG03120	NG33	ESN	Esan in Nigeria	male	AFR
HG03193	NG57	ESN	Esan in Nigeria	male	AFR
HG03194	NG57	ESN	Esan in Nigeria	male	AFR
HG03195	NG58	ESN	Esan in Nigeria	female	AFR
HG03196	NG58	ESN	Esan in Nigeria	male	AFR
HG03125	NG34	ESN	Esan in Nigeria	female	AFR
HG02942	NG12	ESN	Esan in Nigeria	male	AFR
HG02943	NG13	ESN	Esan in Nigeria	female	AFR
HG02944	NG13	ESN	Esan in Nigeria	male	AFR
HG02945	NG13	ESN	Esan in Nigeria	female	AFR
HG02946	NG14	ESN	Esan in Nigeria	female	AFR
HG02947	NG14	ESN	Esan in Nigeria	male	AFR
HG02948	NG14	ESN	Esan in Nigeria	male	AFR
HG03133	NG37	ESN	Esan in Nigeria	male	AFR
HG03134	NG37	ESN	Esan in Nigeria	male	AFR
HG03135	NG38	ESN	Esan in Nigeria	female	AFR
HG02965	NG20	ESN	Esan in Nigeria	male	AFR
HG02966	NG20	ESN	Esan in Nigeria	male	AFR
HG03305	NG76	ESN	Esan in Nigeria	female	AFR
HG03140	NG39	ESN	Esan in Nigeria	female	AFR
HG03157	NG45	ESN	Esan in Nigeria	male	AFR
HG03158	NG45	ESN	Esan in Nigeria	female	AFR
HG03159	NG46	ESN	Esan in Nigeria	female	AFR
HG03160	NG46	ESN	Esan in Nigeria	male	AFR
HG03161	NG46	ESN	Esan in Nigeria	male	AFR
HG03162	NG47	ESN	Esan in Nigeria	female	AFR
HG03163	NG47	ESN	Esan in Nigeria	male	AFR
HG03313	NG79	ESN	Esan in Nigeria	male	AFR
HG03314	NG79	ESN	Esan in Nigeria	male	AFR
HG03339	NG88	ESN	Esan in Nigeria	female	AFR
HG03341	NG88	ESN	Esan in Nigeria	female	AFR
HG03169	NG49	ESN	Esan in Nigeria	male	AFR
HG03170	NG49	ESN	Esan in Nigeria	male	AFR
HG03171	HG03171	ESN	Esan in Nigeria	female	AFR
HG03350	NG92	ESN	Esan in Nigeria	male	AFR
HG03115	NG31	ESN	Esan in Nigeria	male	AFR
HG03265	NG63	ESN	Esan in Nigeria	male	AFR
HG03266	NG63	ESN	Esan in Nigeria	female	AFR
HG03267	NG64	ESN	Esan in Nigeria	female	AFR
HG03362	NG95	ESN	Esan in Nigeria	male	AFR
HG03363	NG96	ESN	Esan in Nigeria	female	AFR
HG03270	NG65	ESN	Esan in Nigeria	female	AFR
HG03271	NG65	ESN	Esan in Nigeria	male	AFR
HG03272	NG65	ESN	Esan in Nigeria	female	AFR
HG03279	NG68	ESN	Esan in Nigeria	female	AFR
HG03280	NG68	ESN	Esan in Nigeria	male	AFR
HG03291	NG72	ESN	Esan in Nigeria	female	AFR
HG03293	NG72	ESN	Esan in Nigeria	male	AFR
HG03294	NG73	ESN	Esan in Nigeria	female	AFR
HG03295	NG73	ESN	Esan in Nigeria	male	AFR
HG03296	NG73	ESN	Esan in Nigeria	male	AFR
HG03518	NG108	ESN	Esan in Nigeria	male	AFR
HG03519	NG108	ESN	Esan in Nigeria	male	AFR
HG03520	NG109	ESN	Esan in Nigeria	female	AFR
HG03521	NG109	ESN	Esan in Nigeria	male	AFR
HG03522	NG109	ESN	Esan in Nigeria	female	AFR
HG03136	NG38	ESN	Esan in Nigeria	male	AFR
HG03137	NG38	ESN	Esan in Nigeria	male	AFR
HG03139	NG39	ESN	Esan in Nigeria	male	AFR
HG03343	NG89	ESN	Esan in Nigeria	male	AFR
HG03344	NG89	ESN	Esan in Nigeria	male	AFR
HG02981	NG25	ESN	Esan in Nigeria	male	AFR
HG03308	NG77	ESN	Esan in Nigeria	male	AFR
HG03309	NG78	ESN	Esan in Nigeria	female	AFR
HG03310	NG78	ESN	Esan in Nigeria	female	AFR
HG03311	NG78	ESN	Esan in Nigeria	male	AFR
HG03312	NG79	ESN	Esan in Nigeria	female	AFR
HG02974	NG23	ESN	Esan in Nigeria	female	AFR
HG02975	NG23	ESN	Esan in Nigeria	male	AFR
HG02976	NG24	ESN	Esan in Nigeria	female	AFR
HG02977	NG24	ESN	Esan in Nigeria	male	AFR
HG03342	NG89	ESN	Esan in Nigeria	female	AFR
HG03369	NG98	ESN	Esan in Nigeria	female	AFR
HG03370	NG98	ESN	Esan in Nigeria	male	AFR
HG03371	NG98	ESN	Esan in Nigeria	male	AFR
HG03351	NG92	ESN	Esan in Nigeria	female	AFR
HG03352	NG92	ESN	Esan in Nigeria	male	AFR
HG03354	NG93	ESN	Esan in Nigeria	female	AFR
HG03361	NG95	ESN	Esan in Nigeria	male	AFR
HG03130	NG36	ESN	Esan in Nigeria	male	AFR
HG03268	NG64	ESN	Esan in Nigeria	male	AFR
HG03365	NG96	ESN	Esan in Nigeria	male	AFR
HG03366	NG97	ESN	Esan in Nigeria	female	AFR
HG03367	NG97	ESN	Esan in Nigeria	male	AFR
HG03368	NG97	ESN	Esan in Nigeria	male	AFR
HG03304	NG76	ESN	Esan in Nigeria	male	AFR
HG02979	NG25	ESN	Esan in Nigeria	female	AFR
HG02980	NG25	ESN	Esan in Nigeria	male	AFR
HG03372	NG99	ESN	Esan in Nigeria	female	AFR
HG03373	NG99	ESN	Esan in Nigeria	male	AFR
HG03374	NG99	ESN	Esan in Nigeria	female	AFR
HG03129	NG36	ESN	Esan in Nigeria	female	AFR
HG02972	NG22	ESN	Esan in Nigeria	male	AFR
HG03131	NG36	ESN	Esan in Nigeria	male	AFR
HG03132	NG37	ESN	Esan in Nigeria	female	AFR
HG03269	NG64	ESN	Esan in Nigeria	male	AFR
HG03302	NG75	ESN	Esan in Nigeria	male	AFR
HG03303	NG76	ESN	Esan in Nigeria	female	AFR
HG02978	NG24	ESN	Esan in Nigeria	female	AFR
HG03510	NG105	ESN	Esan in Nigeria	female	AFR
HG03197	NG58	ESN	Esan in Nigeria	male	AFR
HG03198	NG59	ESN	Esan in Nigeria	female	AFR
HG03172	NG50	ESN	Esan in Nigeria	male	AFR
HG03173	NG50	ESN	Esan in Nigeria	male	AFR
HG02971	NG22	ESN	Esan in Nigeria	male	AFR
HG03203	NG60	ESN	Esan in Nigeria	female	AFR
HG02973	NG23	ESN	Esan in Nigeria	male	AFR
HG03128	NG35	ESN	Esan in Nigeria	male	AFR
HG03200	NG59	ESN	Esan in Nigeria	female	AFR
HG03493	NG100	ESN	Esan in Nigeria	female	AFR
HG03499	NG102	ESN	Esan in Nigeria	female	AFR
HG03508	NG105	ESN	Esan in Nigeria	female	AFR
HG03513	NG106	ESN	Esan in Nigeria	male	AFR
HG03175	NG51	ESN	Esan in Nigeria	male	AFR
HG03511	NG106	ESN	Esan in Nigeria	female	AFR
HG03199	NG59	ESN	Esan in Nigeria	male	AFR
HG03127	NG35	ESN	Esan in Nigeria	male	AFR
HG03514	NG107	ESN	Esan in Nigeria	female	AFR
HG03516	NG107	ESN	Esan in Nigeria	female	AFR
HG03517	NG108	ESN	Esan in Nigeria	female	AFR
HG03202	NG60	ESN	Esan in Nigeria	male	AFR
HG03126	NG35	ESN	Esan in Nigeria	female	AFR
HG03515	NG107	ESN	Esan in Nigeria	male	AFR
HG00185	HG00185	FIN	Finnish in Finland	male	EUR
HG00190	HG00190	FIN	Finnish in Finland	male	EUR
HG00188	HG00188	FIN	Finnish in Finland	male	EUR
HG00189	HG00189	FIN	Finnish in Finland	male	EUR
HG00179	HG00179	FIN	Finnish in Finland	female	EUR
HG00176	HG00176	FIN	Finnish in Finland	female	EUR
HG00177	HG00177	FIN	Finnish in Finland	female	EUR
HG00178	HG00178	FIN	Finnish in Finland	female	EUR
HG00183	HG00183	FIN	Finnish in Finland	male	EUR
HG00186	HG00186	FIN	Finnish in Finland	male	EUR
HG00187	HG00187	FIN	Finnish in Finland	male	EUR
HG00171	HG00171	FIN	Finnish in Finland	female	EUR
HG00173	HG00173	FIN	Finnish in Finland	female	EUR
HG00174	HG00174	FIN	Finnish in Finland	female	EUR
HG00271	HG00271	FIN	Finnish in Finland	male	EUR
HG00272	HG00272	FIN	Finnish in Finland	female	EUR
HG00273	HG00273	FIN	Finnish in Finland	male	EUR
HG00274	HG00274	FIN	Finnish in Finland	female	EUR
HG00180	HG00180	FIN	Finnish in Finland	female	EUR
HG00181	HG00181	FIN	Finnish in Finland	male	EUR
HG00182	HG00182	FIN	Finnish in Finland	male	EUR
HG00278	HG00278	FIN	Finnish in Finland	male	EUR
HG00266	HG00266	FIN	Finnish in Finland	female	EUR
HG00267	HG00267	FIN	Finnish in Finland	male	EUR
HG00268	HG00268	FIN	Finnish in Finland	female	EUR
HG00269	HG00269	FIN	Finnish in Finland	female	EUR
HG00270	HG00270	FIN	Finnish in Finland	female	EUR
HG00288	HG00288	FIN	Finnish in Finland	female	EUR
HG00290	HG00290	FIN	Finnish in Finland	male	EUR
HG00302	HG00302	FIN	Finnish in Finland	female	EUR
HG00303	HG00303	FIN	Finnish in Finland	male	EUR
HG00304	HG00304	FIN	Finnish in Finland	female	EUR
HG00306	HG00306	FIN	Finnish in Finland	female	EUR
HG00308	HG00308	FIN	Finnish in Finland	male	EUR
HG00309	HG00309	FIN	Finnish in Finland	female	EUR
HG00310	HG00310	FIN	Finnish in Finland	male	EUR
HG00311	HG00311	FIN	Finnish in Finland	male	EUR
HG00312	HG00312	FIN	Finnish in Finland	male	EUR
HG00313	HG00313	FIN	Finnish in Finland	female	EUR
HG00315	HG00315	FIN	Finnish in Finland	female	EUR
HG00318	HG00318	FIN	Finnish in Finland	female	EUR
HG00319	HG00319	FIN	Finnish in Finland	female	EUR
HG00320	HG00320	FIN	Finnish in Finland	female	EUR
HG00321	HG00321	FIN	Finnish in Finland	male	EUR
HG00323	HG00323	FIN	Finnish in Finland	female	EUR
HG00324	HG00324	FIN	Finnish in Finland	female	EUR
HG00325	HG00325	FIN	Finnish in Finland	male	EUR
HG00326	HG00326	FIN	Finnish in Finland	female	EUR
HG00327	HG00327	FIN	Finnish in Finland	female	EUR
HG00328	HG00328	FIN	Finnish in Finland	female	EUR
HG00329	HG00329	FIN	Finnish in Finland	male	EUR
HG00330	HG00330	FIN	Finnish in Finland	female	EUR
HG00331	HG00331	FIN	Finnish in Finland	female	EUR
HG00332	HG00332	FIN	Finnish in Finland	female	EUR
HG00334	HG00334	FIN	Finnish in Finland	female	EUR
HG00335	HG00335	FIN	Finnish in Finland	male	EUR
HG00336	HG00336	FIN	Finnish in Finland	male	EUR
HG00337	HG00337	FIN	Finnish in Finland	female	EUR
HG00338	HG00338	FIN	Finnish in Finland	male	EUR
HG00339	HG00339	FIN	Finnish in Finland	female	EUR
HG00341	HG00341	FIN	Finnish in Finland	male	EUR
HG00342	HG00342	FIN	Finnish in Finland	male	EUR
HG00280	HG00280	FIN	Finnish in Finland	male	EUR
HG00281	HG00281	FIN	Finnish in Finland	female	EUR
HG00282	HG00282	FIN	Finnish in Finland	female	EUR
HG00284	HG00284	FIN	Finnish in Finland	male	EUR
HG00285	HG00285	FIN	Finnish in Finland	female	EUR
HG00350	HG00350	FIN	Finnish in Finland	female	EUR
HG00351	HG00351	FIN	Finnish in Finland	male	EUR
HG00353	HG00353	FIN	Finnish in Finland	female	EUR
HG00355	HG00355	FIN	Finnish in Finland	female	EUR
HG00356	HG00356	FIN	Finnish in Finland	female	EUR
HG00357	HG00357	FIN	Finnish in Finland	female	EUR
HG00358	HG00358	FIN	Finnish in Finland	male	EUR
HG00359	HG00359	FIN	Finnish in Finland	female	EUR
HG00360	HG00360	FIN	Finnish in Finland	male	EUR
HG00361	HG00361	FIN	Finnish in Finland	female	EUR
HG00362	HG00362	FIN	Finnish in Finland	female	EUR
HG00364	HG00364	FIN	Finnish in Finland	female	EUR
HG00365	HG00365	FIN	Finnish in Finland	female	EUR
HG00366	HG00366	FIN	Finnish in Finland	male	EUR
HG00367	HG00367	FIN	Finnish in Finland	female	EUR
HG00368	HG00368	FIN	Finnish in Finland	female	EUR
HG00369	HG00369	FIN	Finnish in Finland	male	EUR
HG00371	HG00371	FIN	Finnish in Finland	male	EUR
HG00372	HG00372	FIN	Finnish in Finland	male	EUR
HG00373	HG00373	FIN	Finnish in Finland	female	EUR
HG00375	HG00375	FIN	Finnish in Finland	male	EUR
HG00376	HG00376	FIN	Finnish in Finland	female	EUR
HG00377	HG00377	FIN	Finnish in Finland	female	EUR
HG00378	HG00378	FIN	Finnish in Finland	female	EUR
HG00379	HG00379	FIN	Finnish in Finland	female	EUR
HG00380	HG00380	FIN	Finnish in Finland	female	EUR
HG00381	HG00381	FIN	Finnish in Finland	female	EUR
HG00382	HG00382	FIN	Finnish in Finland	male	EUR
HG00383	HG00383	FIN	Finnish in Finland	female	EUR
HG00384	HG00384	FIN	Finnish in Finland	female	EUR
HG00276	HG00276	FIN	Finnish in Finland	female	EUR
HG00277	HG00277	FIN	Finnish in Finland	male	EUR
HG00349	HG00349	FIN	Finnish in Finland	female	EUR
HG00275	HG00275	FIN	Finnish in Finland	female	EUR
HG00346	HG00346	FIN	Finnish in Finland	female	EUR
HG00344	HG00344	FIN	Finnish in Finland	female	EUR
HG00343	HG00343	FIN	Finnish in Finland	female	EUR
HG00345	HG00345	FIN	Finnish in Finland	male	EUR
HG00096	HG00096	GBR	British in England and Scotland	male	EUR
HG00097	HG00097	GBR	British in England and Scotland	female	EUR
HG00098	HG00098	GBR	British in England and Scotland	male	EUR
HG00099	HG00099	GBR	British in England and Scotland	female	EUR
HG00100	HG00100	GBR	British in England and Scotland	female	EUR
HG00101	HG00101	GBR	British in England and Scotland	male	EUR
HG00102	HG00102	GBR	British in England and Scotland	female	EUR
HG00103	HG00103	GBR	British in England and Scotland	male	EUR
HG00104	HG00104	GBR	British in England and Scotland	female	EUR
HG00105	HG00105	GBR	British in England and Scotland	male	EUR
HG00106	HG00106	GBR	British in England and Scotland	female	EUR
HG00107	HG00107	GBR	British in England and Scotland	male	EUR
HG00108	HG00108	GBR	British in England and Scotland	male	EUR
HG00109	HG00109	GBR	British in England and Scotland	male	EUR
HG00110	HG00110	GBR	British in England and Scotland	female	EUR
HG00111	HG00111	GBR	British in England and Scotland	female	EUR
HG00112	HG00112	GBR	British in England and Scotland	male	EUR
HG00113	HG00113	GBR	British in England and Scotland	male	EUR
HG00114	HG00114	GBR	British in England and Scotland	male	EUR
HG00115	HG00115	GBR	British in England and Scotland	male	EUR
HG00116	HG00116	GBR	British in England and Scotland	male	EUR
HG00117	HG00117	GBR	British in England and Scotland	male	EUR
HG00118	HG00118	GBR	British in England and Scotland	female	EUR
HG00119	HG00119	GBR	British in England and Scotland	male	EUR
HG00120	HG00120	GBR	British in England and Scotland	female	EUR
HG00121	HG00121	GBR	British in England and Scotland	female	EUR
HG00122	HG00122	GBR	British in England and Scotland	female	EUR
HG00123	HG00123	GBR	British in England and Scotland	female	EUR
HG00124	HG00124	GBR	British in England and Scotland	female	EUR
HG00125	HG00125	GBR	British in England and Scotland	female	EUR
HG00126	HG00126	GBR	British in England and Scotland	male	EUR
HG00127	HG00127	GBR	British in England and Scotland	female	EUR
HG00128	HG00128	GBR	British in England and Scotland	female	EUR
HG00129	HG00129	GBR	British in England and Scotland	male	EUR
HG00130	HG00130	GBR	British in England and Scotland	female	EUR
HG00131	HG00131	GBR	British in England and Scotland	male	EUR
HG00132	HG00132	GBR	British in England and Scotland	female	EUR
HG00133	HG00133	GBR	British in England and Scotland	female	EUR
HG00134	HG00134	GBR	British in England and Scotland	female	EUR
HG00135	HG00135	GBR	British in England and Scotland	female	EUR
HG00136	HG00136	GBR	British in England and Scotland	male	EUR
HG00137	HG00137	GBR	British in England and Scotland	female	EUR
HG00138	HG00138	GBR	British in England and Scotland	male	EUR
HG00139	HG00139	GBR	British in England and Scotland	male	EUR
HG00140	HG00140	GBR	British in England and Scotland	male	EUR
HG00141	HG00141	GBR	British in England and Scotland	male	EUR
HG00142	HG00142	GBR	British in England and Scotland	male	EUR
HG00143	HG00143	GBR	British in England and Scotland	male	EUR
HG00144	GBR001	GBR	British in England and Scotland	female	EUR
HG00145	HG00145	GBR	British in England and Scotland	male	EUR
HG00146	GBR002	GBR	British in England and Scotland	female	EUR
HG00147	GBR002a	GBR	British in England and Scotland	female	EUR
HG00148	HG00148	GBR	British in England and Scotland	male	EUR
HG00149	HG00149	GBR	British in England and Scotland	male	EUR
HG00150	HG00150	GBR	British in England and Scotland	female	EUR
HG00151	HG00151	GBR	British in England and Scotland	male	EUR
HG00152	HG00152	GBR	British in England and Scotland	male	EUR
HG00153	GBR003	GBR	British in England and Scotland	female	EUR
HG00154	HG00154	GBR	British in England and Scotland	female	EUR
HG00155	GBR001	GBR	British in England and Scotland	male	EUR
HG00156	HG00156	GBR	British in England and Scotland	male	EUR
HG00157	HG00157	GBR	British in England and Scotland	male	EUR
HG00158	GBR003	GBR	British in England and Scotland	female	EUR
HG00159	HG00159	GBR	British in England and Scotland	male	EUR
HG00160	HG00160	GBR	British in England and Scotland	male	EUR
HG00255	HG00255	GBR	British in England and Scotland	female	EUR
HG00256	HG00256	GBR	British in England and Scotland	male	EUR
HG00257	HG00257	GBR	British in England and Scotland	female	EUR
HG00258	HG00258	GBR	British in England and Scotland	female	EUR
HG00259	HG00259	GBR	British in England and Scotland	female	EUR
HG00260	HG00260	GBR	British in England and Scotland	male	EUR
HG00261	HG00261	GBR	British in England and Scotland	female	EUR
HG00262	HG00262	GBR	British in England and Scotland	female	EUR
HG00263	HG00263	GBR	British in England and Scotland	female	EUR
HG00264	HG00264	GBR	British in England and Scotland	male	EUR
HG00265	HG00265	GBR	British in England and Scotland	male	EUR
